Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
FC Basel,5,5,-,-,14,4,10,15
Grasshoppers,5,3,1,1,19,12,7,10
Sion,5,2,2,1,7,7,0,8
St Gallen,5,2,1,2,4,4,0,7
BSC Young Boys,5,1,3,1,6,5,1,6
FC Lugano,5,2,-,3,4,11,-7,6
FC Zurich,5,1,2,2,8,9,-1,5
FC Luzern,5,1,2,2,5,7,-2,5
Vaduz,5,-,3,2,6,9,-3,3
FC Thun,5,1,-,4,8,13,-5,3
