Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Heart of Midlothian,4,4,-,-,10,2,8,12
Celtic,4,3,-,1,5,2,3,9
St Johnstone,5,2,2,1,5,5,0,8
Kilmarnock,4,2,1,1,4,1,3,7
Livingston,4,2,1,1,5,4,1,7
Aberdeen,5,1,3,1,4,5,-1,6
Hibernian,4,1,2,1,6,4,2,5
Rangers,4,1,2,1,6,5,1,5
Motherwell,4,1,1,2,6,8,-2,4
Hamilton Academical,4,1,-,3,3,7,-4,3
St Mirren,4,1,-,3,3,9,-6,3
Dundee,4,-,-,4,2,7,-5,0
