Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
FC Midtylland,5,4,1,-,7,1,6,13
SonderjyskE,5,3,-,2,11,5,6,9
FC Copenhagen,4,2,2,-,6,3,3,8
AGF Aarhus,5,2,2,1,9,8,1,8
Viborg,5,2,2,1,3,3,0,8
Odense,4,2,1,1,7,4,3,7
Aalborg BK,5,2,1,2,6,7,-1,7
Nordsjaelland,5,1,2,2,3,7,-4,5
Randers FC,3,1,1,1,8,6,2,4
Hobro IK,5,1,-,4,2,8,-6,3
Brondby,5,-,2,3,5,9,-4,2
Esbjerg,5,-,2,3,3,9,-6,2
