Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Heart of Midlothian,8,6,1,1,14,6,8,19
Hibernian,8,5,2,1,19,6,13,17
Celtic,8,5,1,2,13,4,9,16
Kilmarnock,8,5,1,2,13,7,6,16
Livingston,8,4,3,1,8,5,3,15
Rangers,8,4,2,2,18,8,10,14
Aberdeen,8,3,3,2,9,7,2,12
St Johnstone,8,2,2,4,7,18,-11,8
Hamilton Academical,8,2,-,6,6,16,-10,6
Motherwell,8,1,2,5,8,14,-6,5
St Mirren,8,1,1,6,4,17,-13,4
Dundee,8,1,-,7,5,16,-11,3
