Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
FC Midtylland,5,4,1,-,7,1,6,13
SonderjyskE,5,3,-,2,11,5,6,9
Odense,5,2,2,1,7,4,3,8
FC Copenhagen,4,2,2,-,6,3,3,8
AGF Aarhus,5,2,2,1,9,8,1,8
Viborg,5,2,2,1,3,3,0,8
Aalborg BK,5,2,1,2,6,7,-1,7
Randers FC,4,1,2,1,8,6,2,5
Nordsjaelland,5,1,2,2,3,7,-4,5
Hobro IK,5,1,-,4,2,8,-6,3
Brondby,5,-,2,3,5,9,-4,2
Esbjerg,5,-,2,3,3,9,-6,2
