Clubs,Matches played,Matches won,Matches drawn,Matches lost,Goals for,Goals against,Goal difference,Points
Rapid Wien,5,4,1,-,14,6,8,13
FC Admira Wacker Modling,5,3,2,-,11,7,4,11
FK Austria Wien,5,3,1,1,14,9,5,10
Sturm Graz,5,2,3,-,7,4,3,9
Salzburg,5,2,1,2,10,7,3,7
SV Mattersburg,5,2,-,3,9,12,-3,6
SV Grodig,5,1,2,2,9,10,-1,5
Wolfsberger AC,5,1,1,3,4,8,-4,4
SC Rheindorf Altach,5,1,-,4,5,9,-4,3
SV Ried,5,-,1,4,3,14,-11,1
